export_id;image_name;track_id;camera;direction;predicted_class;confidence;actual_class
1;vehicle_0001_ID1.jpg;1;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6683;car
2;vehicle_0002_ID22.jpg;22;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7876;truck
3;vehicle_0003_ID33.jpg;33;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7063;car
4;vehicle_0004_ID43.jpg;43;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8251;car
5;vehicle_0005_ID65.jpg;65;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.803;truck
6;vehicle_0006_ID76.jpg;76;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8036;car
7;vehicle_0007_ID84.jpg;84;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7231;truck
8;vehicle_0008_ID86.jpg;86;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7813;truck
9;vehicle_0009_ID95.jpg;95;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.5364;car
10;vehicle_0010_ID110.jpg;110;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6532;car
11;vehicle_0011_ID124.jpg;124;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7429;car
12;vehicle_0012_ID126.jpg;126;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7911;truck
13;vehicle_0013_ID151.jpg;151;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.5435;bus
14;vehicle_0014_ID125.jpg;125;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5846;truck
15;vehicle_0015_ID161.jpg;161;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.84;truck
16;vehicle_0016_ID176.jpg;176;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7444;car
17;vehicle_0017_ID187.jpg;187;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6011;truck
18;vehicle_0018_ID173.jpg;173;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.525;truck
19;vehicle_0019_ID191.jpg;191;CT-06 Cakung Timur 2;Cikampek → Jakarta;bus;0.7928;bus
20;vehicle_0020_ID194.jpg;194;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7206;car
21;vehicle_0021_ID196.jpg;196;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5889;truck
22;vehicle_0022_ID202.jpg;202;CT-06 Cakung Timur 2;Cikampek → Jakarta;motorcycle;0.699;motorcycle
23;vehicle_0023_ID207.jpg;207;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.731;car
24;vehicle_0024_ID226.jpg;226;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7859;truck
25;vehicle_0025_ID243.jpg;243;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.5298;car
26;vehicle_0026_ID253.jpg;253;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.505;truck
27;vehicle_0027_ID268.jpg;268;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6752;truck
28;vehicle_0028_ID292.jpg;292;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6761;truck
29;vehicle_0029_ID299.jpg;299;CT-06 Cakung Timur 2;Cikampek → Jakarta;bus;0.5208;truck
30;vehicle_0030_ID305.jpg;305;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6025;truck
31;vehicle_0031_ID307.jpg;307;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8589;truck
32;vehicle_0032_ID325.jpg;325;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6199;truck
33;vehicle_0033_ID324.jpg;324;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6002;bus
34;vehicle_0034_ID358.jpg;358;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.5411;car
35;vehicle_0035_ID362.jpg;362;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7666;truck
36;vehicle_0036_ID2.jpg;2;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8003;truck
37;vehicle_0037_ID3.jpg;3;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.744;car
38;vehicle_0038_ID24.jpg;24;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6623;car
39;vehicle_0039_ID25.jpg;25;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7404;truck
40;vehicle_0040_ID23.jpg;23;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7423;car
41;vehicle_0041_ID39.jpg;39;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7338;bus
42;vehicle_0042_ID50.jpg;50;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7995;truck
43;vehicle_0043_ID65.jpg;65;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8076;truck
44;vehicle_0044_ID63.jpg;63;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5335;truck
45;vehicle_0045_ID70.jpg;70;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6307;car
46;vehicle_0046_ID78.jpg;78;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8018;truck
47;vehicle_0047_ID80.jpg;80;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7384;truck
48;vehicle_0048_ID92.jpg;92;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.5625;car
49;vehicle_0049_ID89.jpg;89;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.6805;truck
50;vehicle_0050_ID98.jpg;98;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7667;truck
51;vehicle_0051_ID103.jpg;103;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8285;truck
52;vehicle_0052_ID112.jpg;112;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6825;truck
53;vehicle_0053_ID126.jpg;126;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.777;truck
54;vehicle_0054_ID145.jpg;145;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6928;truck
55;vehicle_0055_ID149.jpg;149;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6894;truck
56;vehicle_0056_ID156.jpg;156;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6541;truck
57;vehicle_0057_ID155.jpg;155;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.865;car
58;vehicle_0058_ID173.jpg;173;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6334;truck
59;vehicle_0059_ID169.jpg;169;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8048;car
60;vehicle_0060_ID177.jpg;177;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6615;truck
61;vehicle_0061_ID184.jpg;184;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6488;truck
62;vehicle_0062_ID186.jpg;186;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7402;truck
63;vehicle_0063_ID190.jpg;190;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6888;car
64;vehicle_0064_ID207.jpg;207;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6029;truck
65;vehicle_0065_ID221.jpg;221;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6664;car
66;vehicle_0066_ID244.jpg;244;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6272;truck
67;vehicle_0067_ID269.jpg;269;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.6833;car
68;vehicle_0068_ID274.jpg;274;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5082;truck
69;vehicle_0069_ID300.jpg;300;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8578;truck
70;vehicle_0070_ID308.jpg;308;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.6424;truck
71;vehicle_0071_ID329.jpg;329;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5654;truck
72;vehicle_0072_ID339.jpg;339;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5476;truck
73;vehicle_0073_ID349.jpg;349;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.833;truck
74;vehicle_0074_ID351.jpg;351;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.5825;truck
75;vehicle_0075_ID348.jpg;348;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7932;truck
76;vehicle_0076_ID357.jpg;357;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.7694;truck
77;vehicle_0077_ID376.jpg;376;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.8376;truck
78;vehicle_0078_ID378.jpg;378;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5324;truck
79;vehicle_0079_ID381.jpg;381;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7783;car
80;vehicle_0080_ID401.jpg;401;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.6102;bus
81;vehicle_0081_ID409.jpg;409;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.6702;car
82;vehicle_0082_ID413.jpg;413;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7273;car
83;vehicle_0083_ID426.jpg;426;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5402;truck
84;vehicle_0084_ID427.jpg;427;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7707;truck
85;vehicle_0085_ID430.jpg;430;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.666;truck
86;vehicle_0086_ID432.jpg;432;CT-06 Cakung Timur 2;Jakarta → Cikampek;bus;0.5265;truck
87;vehicle_0087_ID431.jpg;431;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.695;truck
88;vehicle_0088_ID443.jpg;443;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.8293;truck
89;vehicle_0089_ID444.jpg;444;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.709;car
90;vehicle_0090_ID455.jpg;455;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6957;car
91;vehicle_0091_ID470.jpg;470;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5825;truck
92;vehicle_0092_ID467.jpg;467;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.8439;car
93;vehicle_0093_ID479.jpg;479;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7371;car
94;vehicle_0094_ID482.jpg;482;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.7939;car
95;vehicle_0095_ID493.jpg;493;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6697;car
96;vehicle_0096_ID504.jpg;504;CT-06 Cakung Timur 2;Cikampek → Jakarta;bus;0.5035;truck
97;vehicle_0097_ID529.jpg;529;CT-06 Cakung Timur 2;Jakarta → Cikampek;car;0.5389;truck
98;vehicle_0098_ID558.jpg;558;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.7308;truck
99;vehicle_0099_ID556.jpg;556;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.7115;car
100;vehicle_0100_ID571.jpg;571;CT-06 Cakung Timur 2;Cikampek → Jakarta;car;0.6451;car
101;vehicle_0101_ID584.jpg;584;CT-06 Cakung Timur 2;Jakarta → Cikampek;truck;0.5131;truck
102;vehicle_0102_ID593.jpg;593;CT-06 Cakung Timur 2;Cikampek → Jakarta;bus;0.6823;truck
103;vehicle_0103_ID604.jpg;604;CT-06 Cakung Timur 2;Cikampek → Jakarta;truck;0.5111;truck
